From,To,Direction
"Earth Day Indiana, Inc.",Indiana Native Plant Society- Central Chapter,directed
Hoosier Environmental Council,Thrive Indianapolis Plan,directed
Hoosier Environmental Council,Reconnecting to Our Waterways,directed
Earth Charter Indiana,Groundwork Indy,directed
Keep Indianapolis Beautiful,Thrive Indianapolis Plan,directed
City of Indianapolis,INHP,directed
CAFE,City of Indianapolis,directed
Marion County Purdue Extension Office,Reconnecting to Our Waterways,directed
CICF,La Plaza,directed
Boys and Girls Clubs,CAFE,mutual
MCPHD,Thrive Indianapolis Plan,directed
Damien Center,Samerian Foundation,directed
Earth Charter Indiana,Thrive Indianapolis Plan,directed
CICF,Parks Alliance of Indianapolis,directed
Groundwork Indy,Kheprw Institute,directed
Central Indiana Land Trust,Circle City Cooperative Invasive Species Management Area- Marion County,directed
CAFE,La Plaza,mutual
Amos W Butler Audubon Society,forests for indy,directed
Boys and Girls Clubs,Salesforce Foundation,directed
Groundwork Indy,INHP,directed
La Plaza,Marian University,directed
Sierra Club Hoosier Chapter,Thrive Indianapolis Plan,directed
City of Indianapolis,Groundwork Indy,directed
Boys and Girls Clubs,Herbert Simon Family Foundation,directed
Indiana Native Plant Society- Central Chapter,Indiana Plant Conservation Alliance,directed
Keep Indianapolis Beautiful,Reconnecting to Our Waterways,directed
Kheprw Institute,Thrive Indianapolis Plan,directed
Indiana Native Plant Society- Central Chapter,Reconnecting to Our Waterways,directed
Keep Indianapolis Beautiful,Nina Mason Pulliam Charitable Trust,directed
CICF,Indianapolis Foundation,directed
City of Indianapolis,Indy's Urban Wilderness,directed
Boys and Girls Clubs,Nina Mason Pulliam Charitable Trust,directed
La Plaza,Samerian Foundation,directed
City of Indianapolis,Indy Parks,directed
Circle City Cooperative Invasive Species Management Area- Marion County,Reconnecting to Our Waterways,directed
CAFE,Damien Center,directed
Flanner House,UINDY,directed
Central Indiana Land Trust,Reconnecting to Our Waterways,directed
Indiana Native Plant Society- Central Chapter,Keep Indianapolis Beautiful,directed
Circle City Cooperative Invasive Species Management Area- Marion County,Indiana Wildlife Federation,directed
Citizens Action Coalition,Thrive Indianapolis Plan,directed
CAFE,Family Development Services,directed
City of Indianapolis,Flanner House,directed
Indiana Wildlife Federation,Reconnecting to Our Waterways,directed
CAFE,United Way,directed
City of Indianapolis,INRC,directed
Groundwork Indy,Reconnecting to Our Waterways,directed
Circle City Cooperative Invasive Species Management Area- Marion County,Earth Charter Indiana,directed
EmployIndy,La Plaza,directed
Groundwork Indy,Marion County Purdue Extension Office,directed
Marion County Soil & Water Conservation Districts,Reconnecting to Our Waterways,directed
City of Indianapolis,Thrive Indianapolis Plan,directed
CHIP,Indianapolis Foundation,directed
