Domain,Mentioned URLs
ourwaterways.org,[]
earthcharterindiana.org,"['indianathrivingschools.org', 'ef.org', 'cicf.org', 'youthenvironmentalpressteam.org', 'earthcharter.org', 'indythrivingschools.com']"
samerianfoundation.org,[]
indiananativeplants.org,[]
earthdayindiana.org,"['safepaws.co', 'pedalandpark.org', 'indygo.net']"
citact.org, []
damien.org,[]
circularin.org,"['smi.com', 'dakamericas.com', 'amcor.com', 'thekrogercozerohungerzerowastefoundation.com', 'hoosierbev.com', 'knaufinsulation.com', 'timberdesignco.com', 'ciruclarin.org', 'prattindustries.com', 'rumpke.com', 'salesforce.com', 'neoncrm.com', 'circularindiana.org', 'ardaghgroup.com']"
fds.org,"['usda.gov']"
marian.edu,"['muknights.com', 'oldenburgfranciscans.org', 'dudesolutions.com', 'cascadecms.com', 'ancillachargers.com']"
iupui.edu,"['html.', 'research.', 'admissions.', 'iu.edu', 'leadership.']"
nature.org,"['tnc.org', 'mailto.', 'natureunited.ca', 'tncmx.org', 'natureaustralia.org.au', 'tnc.org.hk', 'interstitialRedirectModalURL.', 'tnc.org.cn', 'tncindia.in', 'tncmongolia.org', 'tnc.org.br', 'ykan.or.id', 'indystar.com']"
marionhealth.org,"['marionprepares.org', 'naccho.org', 'hhcorp.org']"
purdue.edu,"['usda.gov', 'eatgathergo.org']"
amosbutleraudubon.org,[]
indysurbanwilderness.org,"['visitlawrenceindiana.com']"
kibi.org,"['ibj.com', 'chase.com', 'milb.com', 'lilly.com', 'visitindy.com', 'cummins.com', 'aesindiana.com', 'umich.edu', 'iu.edu', 'kab.org', 'indy.gov', 'ourwaterways.org', 'glasswebprojects.com', 'keys2.org', 'salesforce.com', 'citizensenergygroup.com', 'cicf.org', 'nba.com']"
circlecitycisma.org,[]
flannerhouse.org,['greatplaces2020.org']
kheprw.org,"['indyamp.org', 'butler.edu', 'thelearningtrees.com', 'ourpowercampaign.org', 'spiritandplace.org', 'alkhemyki.org', 'groundworkindy.org', 'purdue.edu', 'iupui.edu', 'duosindy.com', 'uui.org', 'desmondtutucenter.org', 'in.gov', 'mzbchurch.org', 'myips.org', 'icdc.coop', 'colorlines.com', 'kinumedia.org', 'naacp.org', 'pbs.org']"
employindy.org,[]
hecweb.org,"['bricsindy.com', 'mpisolar.com', 'inovateus.com', 'indianacleanwater.org', 'ikecoalition.org', 'webwire.com', 'ambreblends.com', 'moundsgreenway.org', 'glasswebprojects.com', 'nbofi.com', 'nuvo.net', 'skylercreative.com', 'onepercentfortheplanet.org', 'raymondjames.com', 'ecologicindiana.com', 'wholesundesigns.com', 'indianacoalash.org', 'law360.com', 'chdouglas.com']"
cafeindy.org,[]
groundworkindy.org,"['list-manage.com', 'groundworkusa.org', 'userway.org']"
indianawildlife.org,"['empowerresults.com', 'webs.com', 'coffeecreekcc.net', 'duboiscountysportsmen.org', 'elkhartconservationclub.org', 'intws.org', 'elkhartindiana.org', 'sauganylakeconservationclub.org', 'guidestar.org', 'sjrvff.com', 'amosbutleraudubon.org', 'mscompanies.com', 'gardenforwildlife.com', 'podbean.com', 'thewhiteriveralliance.org', 'newalsaceconservationclub.com']"
indianaforestalliance.org,[]
indianapolisgardenclub.org,"['merchantsbankofindiana.com', 'bremnerrealestate.com', 'gregoryappel.com', 'holemanlandscape.com', 'gcamerica.org', 'LMLESTATEMANAGEMENT.COM']"
inhp.org,"['bbb.org', 'neoncrm.com']"
sierraclub.org,[]
conservingindiana.org,"['landtrustaccreditation.org']"
bgcindy.org,[]
marionswcd.org,[]
