time_stamp,sensor_index,humidity,temperature,pm2.5_atm,sensor_id
1732158000,220755,58.034,42.4,1.2745,220755
1732176000,220755,61.633,39.266,1.67,220755
1732150800,220755,51.1,44.133,0.486,220755
1732226400,220755,71.334,35.933,2.8095,220755
1732197600,220755,61.867,34.166,3.566,220755
1732215600,220755,65.3,35.8,5.9495000000000005,220755
1732172400,220755,57.567,42.0,1.5305,220755
1732201200,220755,59.2,34.2,3.1020000000000003,220755
1732222800,220755,69.4,36.0,3.5765,220755
1732179600,220755,67.267,36.0,8.068,220755
1732168800,220755,58.933,42.034,1.767,220755
1732186800,220755,66.3,36.0,8.396,220755
1732053600,220755,46.633,67.5,1.9055,220755
1731974400,220755,62.633,64.1,19.25,220755
1732042800,220755,50.233,69.0,1.8315,220755
1732035600,220755,56.0,68.433,3.3,220755
1731992400,220755,62.6,62.3,17.575,220755
1731981600,220755,64.5,62.534,19.0325,220755
1731996000,220755,61.666,62.966,18.195,220755
1732032000,220755,61.867,67.1,4.4885,220755
1732060800,220755,53.034,63.066,10.876,220755
1732122000,220755,62.834,46.966,0.968,220755
1732107600,220755,66.867,46.666,8.619,220755
1732132800,220755,39.633,51.8,1.2125,220755
1732136400,220755,38.9,51.5,0.485,220755
1732104000,220755,61.334,50.034,10.7785,220755
1732140000,220755,38.867,50.666,0.286,220755
1730710800,220755,63.667,67.034,11.781,220755
1730685600,220755,54.834,68.2,10.6785,220755
1730757600,220755,65.625,69.4,6.5185,220755
1730750400,220755,66.9,69.534,7.4015,220755
1730714400,220755,64.0,67.0,11.633500000000002,220755
1730678400,220755,50.3,68.9,8.926,220755
1730682000,220755,52.067,68.1,9.0325,220755
1730732400,220755,66.267,67.966,10.1345,220755
1730721600,220755,64.2,66.733,11.585,220755
1730743200,220755,61.633,71.0,8.9345,220755
1731276000,220755,46.333,68.534,3.5855,220755
1731240000,220755,73.0,60.334,8.856,220755
1731265200,220755,49.033,69.034,2.555,220755
1730617200,220755,52.066,51.0,14.451,220755
1730671200,220755,48.133,70.4,9.8785,220755
1730631600,220755,51.867,51.534,10.875,220755
1730653200,220755,37.833,68.334,3.721,220755
1730520000,220755,58.367,48.1,20.063,220755
1730541600,220755,62.6,43.633,18.0185,220755
1730559600,220755,54.8,52.9,11.285,220755
1730574000,220755,37.633,61.666,5.524,220755
1730505600,220755,50.8,52.633,15.4135,220755
1730530800,220755,61.067,45.767,15.852,220755
1730581200,220755,35.034,62.666,5.9635,220755
1731632400,220755,70.867,53.1,20.931,220755
1731661200,220755,68.934,52.8,22.6555,220755
1731650400,220755,70.4,52.966,22.7645,220755
1731636000,220755,70.166,53.566,26.884,220755
1731664800,220755,69.367,52.067,25.8315,220755
1731704400,220755,57.8,53.0,19.895,220755
1731488400,220755,56.467,44.6,4.422,220755
1731506400,220755,53.466,47.067,4.6705000000000005,220755
1731474000,220755,58.267,45.0,5.1175,220755
1731499200,220755,55.2,44.0,5.25,220755
1731477600,220755,57.867,45.133,3.9085,220755
1731484800,220755,56.889,45.0,3.6645,220755
1731510000,220755,51.166,50.767,7.230499999999999,220755
1731470400,220755,57.966,45.133,7.035,220755
1731182400,220755,40.067,65.767,8.422,220755
1731160800,220755,54.9,54.9,13.9775,220755
1731150000,220755,59.834,49.633,14.1925,220755
1731153600,220755,60.733,50.233,14.9985,220755
1731157200,220755,58.834,52.467,15.4125,220755
1731362400,220755,43.933,62.266,2.4555,220755
1731344400,220755,51.166,59.4,3.4225000000000003,220755
1730437200,220755,57.467,52.5,1.3745,220755
1730502000,220755,48.667,54.334,19.2365,220755
1730455200,220755,58.666,46.967,4.204000000000001,220755
1731013200,220755,49.067,58.933,4.627000000000001,220755
1730980800,220755,66.767,50.8,7.552,220755
1731006000,220755,50.0,58.367,6.233499999999999,220755
1730991600,220755,55.867,56.6,6.0,220755
1730970000,220755,63.666,52.566,10.125,220755
1730995200,220755,52.567,58.9,5.961,220755
1731002400,220755,50.3,59.0,5.0515,220755
1730937600,220755,64.4,61.034,9.8845,220755
1731589200,220755,72.1,58.067,19.148,220755
1731621600,220755,68.2,54.966,8.6305,220755
1731603600,220755,64.567,58.7,5.9055,220755
1731596400,220755,70.2,58.8,22.0885,220755
1731776400,220755,49.242,57.933,6.2715,220755
1731783600,220755,48.966,57.867,7.5105,220755
1731772800,220755,50.233,56.833,6.016500000000001,220755
1731740400,220755,58.6,54.0,9.856,220755
1731754800,220755,57.4,53.367,9.4315,220755
1731765600,220755,53.533,54.733,6.478,220755
1731787200,220755,49.133,57.9,8.4695,220755
1731729600,220755,59.167,53.933,21.1325,220755
1730894400,220755,72.267,65.0,8.298,220755
1730912400,220755,62.8,69.367,11.836,220755
1730934000,220755,63.233,62.6,9.927,220755
1730858400,220755,73.1,68.0,1.781,220755
1730926800,220755,59.367,68.1,10.1285,220755
1730898000,220755,72.867,65.767,20.5615,220755
1730908800,220755,67.267,68.5,14.654,220755
1731859200,220755,58.1,58.467,11.1605,220755
1731877200,220755,49.3,66.067,12.8125,220755
1731855600,220755,61.666,54.933,10.928999999999998,220755
1731823200,220755,66.066,47.733,9.5835,220755
1730815200,220755,59.267,70.566,5.887499999999999,220755
1730797200,220755,61.334,68.7,3.0715000000000003,220755
1730782800,220755,57.9,69.034,4.862,220755
1730786400,220755,57.9,68.867,4.471500000000001,220755
1730764800,220755,64.0,70.1,7.5225,220755
1731088800,220755,38.633,63.067,4.199999999999999,220755
1731049200,220755,64.1,48.0,32.45,220755
1731070800,220755,65.467,47.9,37.4235,220755
1731909600,220755,60.8,61.967,21.5435,220755
1731960000,220755,59.9,67.966,16.554000000000002,220755
1731924000,220755,63.367,62.0,22.7045,220755
1731916800,220755,61.166,62.0,21.103,220755
1731898800,220755,58.867,61.933,25.448500000000003,220755
